Family,403_10,403_3,403_6,405_10,405_3,405_6,407_10,407_3,407_6,408_10,408_3,408_6,411_10,411_3,411_6,412_10,412_3,412_6,414_10,414_3,414_6,420_10,420_3,420_6,425_10,425_3,425_6,427_10,427_3,427_6,428_10,428_3,428_6,431_10,431_3,431_6,432_10,432_3,432_6,433_10,433_3,433_6,437_10,437_3,437_6,438_10,438_3,438_6,439_10,439_3,439_6,444_10,444_3,444_6,449_10,449_3,449_6,450_10,450_3,450_6,451_10,451_3,451_6,452_10,452_3,452_6,456_10,456_3,456_6,459_10,459_3,459_6,461_10,461_3,461_6,463_10,463_3,463_6,464_10,464_3,464_6,465_10,465_3,465_6,466_10,466_3,466_6,471_10,471_3,471_6,472_10,472_3,472_6,475_10,475_3,475_6,476_10,476_3,476_6,478_10,478_3,478_6,481_10,481_3,481_6,482_10,482_3,482_6,484_10,484_3,484_6,485_10,485_3,485_6,489_10,489_3,489_6,495_10,495_3,495_6,500_10,500_3,500_6,505_10,505_3,505_6,509_10,509_3,509_6,510_10,510_3,510_6,515_10,515_3,515_6,517_10,517_3,517_6,518_10,518_3,518_6,519_10,519_3,519_6,521_10,521_3,521_6,522_10,522_3,522_6,524_10,524_3,524_6,528_10,528_3,528_6,532_10,532_3,532_6,534_10,534_3,534_6,535_10,535_3,535_6,536_10,536_3,536_6,538_10,538_3,538_6,541_10,541_3,541_6,542_10,542_3,542_6,547_10,547_3,547_6,548_10,548_3,548_6,549_10,549_3,549_6,553_10,553_3,553_6,555_10,555_3,555_6,562_10,562_3,562_6,564_10,564_3,564_6,568_10,568_3,568_6,571_10,571_3,571_6,572_10,572_3,572_6,573_10,573_3,573_6,577_10,577_3,577_6,578_10,578_3,578_6,579_10,579_3,579_6,580_10,580_3,580_6,584_10,584_3,584_6,590_10,590_3,590_6,592_10,592_3,592_6
Prevotellaceae,10,22,16,13,28,14,11,20,13,17,8,12,29,273,411,11,78,19,154,290,645,8,63,105,67,460,704,5,411,1111,7,70,96,152,30,590,75,231,304,22,514,113,30,1090,92,6,5,123,346,14,109,29,66,1403,16,25,21,23,26,11,11,29,14,11,14,20,42,170,361,45,825,137,10,18,11,15,77,17,20,316,14,14,29,18,466,23,1061,31,1923,13,3,25,34,24,34,100,19,164,19,14,47,17,280,9160,111,42,6806,372,20,11248,48,13,11564,17,347,2153,2878,749,25,1618,29,149,1193,15,69,32,4,21,52,12,20,8,1028,2572,323,421,710,743,1698,1262,1029,99,1177,248,85,403,897,272,341,892,845,2473,185,364,334,40,132,1093,645,380,140,594,74,750,308,15,364,164,134,1124,32,17,32,15,47,238,185,153,882,335,307,267,853,10,25,15,547,392,724,160,275,117,49,303,75,17,32,164,234,295,627,108,310,524,745,850,478,0,31,22,2516,180,342,56,1787,313,16,337,40,95,1455,48,1880,6251,198,14,67,33,8,19,16
Lachnospiraceae,3318,27417,9774,15179,14540,6324,11788,4583,5274,4656,7073,4795,15624,9237,9831,13814,5703,12330,15612,12386,11737,10434,5761,17232,4934,15908,13547,907,7190,12457,3676,11578,5079,15876,5281,10479,9476,8362,18062,8686,11754,9211,11817,12957,4165,9710,3644,11400,11621,4884,11482,4031,8075,8330,4023,6414,8354,23263,9577,9572,17740,13523,9107,6709,4891,3019,20302,13435,7075,12512,8090,11543,3154,10318,9593,9039,5261,13818,4116,8524,7373,13792,8083,11088,920,6140,5788,7543,6944,10127,13367,9952,7331,7758,12611,7563,7238,4723,11879,9412,6941,5581,12188,6239,8932,15048,4216,12513,8048,14034,8662,10024,12245,6855,14394,4254,3691,5572,4658,2415,15939,3530,9048,3435,10000,5838,1741,11058,13823,7793,10252,6919,7691,6480,3917,9904,15120,12034,4383,17827,5477,12770,13612,20519,2747,17946,8054,5498,5309,4521,5371,6970,14723,6648,10423,9215,6766,10096,10309,10461,8014,7708,6098,5958,8662,5509,6221,9035,21867,11424,9001,6920,13714,13076,5655,8164,8152,6299,9817,12755,6522,11403,6760,2170,3590,10522,3569,8425,4959,11504,8859,15451,10292,6181,4194,3964,12054,7956,7537,13825,7231,7525,9404,6319,11290,16597,7159,5073,16368,9150,6096,21321,3244,13725,8536,10507,16595,11983,2685,3857,10930,1458,13822,9773,22498,5267,9096,10370,7839,12265,14388
Lactobacillaceae,19153,4358,18025,4570,2942,6715,3473,10096,9332,11467,2272,11115,7118,7458,10375,2862,5411,18772,3959,6833,7870,4292,10269,22954,9479,6024,6476,277,7076,11625,5558,4823,14391,6825,19216,8842,4444,6658,12171,7041,2025,12073,17974,6366,7067,3363,3848,5258,4049,3930,2319,5439,15705,13596,16154,3055,14073,10671,6996,8333,2422,1848,1327,3854,1389,13910,1568,7452,10990,25785,3222,14735,8149,1424,10005,12487,11013,9649,16060,17188,16723,865,4711,10896,14870,10356,14154,18536,8373,10077,3103,9577,13828,16263,19158,3706,12386,21136,14873,15757,5221,11832,6434,6293,11411,11768,5011,11995,8735,4587,11429,1491,3459,11102,628,3635,12475,15543,10250,8514,17155,22704,7108,3244,19501,12893,1826,7284,21922,5980,7723,11118,15254,8145,4497,30138,7348,4001,2956,5146,11894,8582,4357,5667,2233,1810,3940,13129,3481,16905,6430,5982,4595,9578,9480,13496,6556,9360,10083,8991,21870,13115,8009,7220,10876,3455,5609,18356,4865,7703,5576,3603,2652,4707,4028,11553,3832,10801,7074,10661,12087,3476,15286,10485,6130,8496,9408,5933,11431,13778,4220,6568,1271,2288,3177,10214,4892,10421,13090,7969,9055,5437,2871,16288,7830,4865,10727,9735,4775,12081,11407,9805,4805,5450,1597,8148,14195,5455,12054,7655,8584,2030,14229,3754,2252,2485,28646,14084,8438,2831,9519
Muribaculaceae,4021,7174,4372,1707,2567,2215,5475,1045,9987,5103,825,8625,1740,2807,7334,1101,539,1718,5264,4964,7083,1453,648,5014,2214,2723,6980,111,871,7188,2539,3556,5485,2651,161,4863,2812,4336,12411,2190,7078,3861,5005,3939,2514,2184,459,6808,2820,940,1075,3877,619,11964,7296,3210,3985,6266,7360,5562,3329,4618,4563,3052,633,5219,2395,2715,6172,4243,2936,4745,6741,3839,2558,4958,1237,4815,6631,3248,8161,6359,1171,8116,3553,661,2627,7565,7288,7941,2899,1286,6606,6484,4185,4429,9270,1969,7157,4197,4215,5485,7939,4633,4151,9636,4914,11217,11765,5918,4419,6426,6745,3715,2958,3380,6526,7786,399,3952,2803,7122,5295,3089,1446,4371,1326,8821,17076,2898,4370,5179,12520,4119,2958,6182,3076,5843,3289,3304,4800,1479,3428,3088,708,3944,3811,4820,3964,6803,3951,4491,2280,5254,3959,6657,1697,11216,5660,3406,3832,7024,5643,5776,7895,3105,6134,9727,4433,7104,1468,2795,1314,2654,2669,6401,4151,3898,6725,3283,7172,6449,5569,4731,4626,4010,6849,6343,7008,5453,7076,2615,1130,2523,2166,4753,3308,6555,4711,6118,7176,3169,3045,8972,7479,5646,5915,1581,5807,4100,5340,2896,2784,5150,2385,5327,4410,4544,2928,3018,4987,539,16441,4864,1868,3692,2355,4696,1805,944,1742
Oscillospiraceae,199,1581,815,656,824,516,643,216,374,327,667,287,896,1095,872,1253,470,1408,1545,1114,1337,1047,530,2931,489,933,1793,92,338,1022,155,402,395,1785,283,1574,1127,659,2439,806,1285,1053,1040,1066,650,845,171,1230,995,398,1451,284,611,1278,332,649,719,3135,1148,1463,1450,2173,1016,574,304,195,1798,659,629,1185,427,1063,382,830,747,697,276,1191,418,657,626,720,169,1089,72,354,519,775,556,1295,806,390,601,575,1097,925,701,379,1030,786,582,442,1131,443,806,2245,309,1673,591,1050,946,1231,697,460,912,261,251,326,208,264,1148,296,976,351,942,806,276,1407,1426,798,747,925,679,302,362,325,511,1120,450,963,517,831,757,1372,144,1041,752,471,337,356,665,575,953,626,737,789,567,707,970,1138,660,660,444,339,1038,246,840,979,1659,966,743,1229,470,1191,614,750,832,658,688,870,484,805,685,181,357,1207,202,620,451,1248,750,1423,858,851,358,535,1401,628,475,531,709,1073,1187,588,1172,1735,1118,667,2295,1150,508,1457,379,807,351,831,1917,806,265,461,575,145,1430,797,1899,650,543,724,756,1059,1384
Ruminococcaceae,77,988,523,685,565,496,421,174,146,173,505,148,514,952,484,942,575,508,1067,1246,753,698,491,1869,349,699,804,2,276,391,91,560,155,1210,438,538,501,641,762,245,1464,431,672,1102,137,383,199,498,499,446,505,99,807,666,262,740,359,2166,1068,732,926,1790,499,216,484,96,1141,1560,625,557,427,660,139,751,458,371,216,1006,167,858,366,562,727,702,30,463,261,560,364,789,568,318,358,292,478,486,357,257,512,477,374,212,1287,451,511,1741,588,1016,387,1080,708,660,547,273,426,260,120,276,276,118,1879,275,656,133,671,246,101,758,678,685,495,470,387,252,242,226,768,737,346,939,258,586,899,1650,274,1256,425,192,362,212,462,561,928,231,731,385,367,580,423,681,515,383,349,255,696,281,590,1027,981,785,603,572,46,999,293,568,323,262,441,374,228,598,453,119,344,583,94,575,296,782,524,1191,407,421,351,278,1195,419,401,382,328,903,828,316,576,732,678,321,880,637,273,1502,200,525,284,616,1156,802,108,270,359,79,825,251,2964,255,523,492,351,537,890
Enterobacteriaceae,6,8,8,0,0,0,0,0,0,0,4,4,0,5,8,3,0,0,0,60,0,0,0,10,6,3,6,0,0,7,0,0,2,0,6,0,0,6,13,8,4,10,6,4,0,0,0,4,0,0,0,0,0,7,0,34,5,0,0,6,0,3,0,0,0,0,6,7,18,10,0,5,4,4,3,7,5,0,0,62,7,0,5,13,0,0,6,4,0,7,0,7,7,4,7,0,0,20,3,0,4,4,0,0,5,0,6,6,9,4,0,7,4,6,6,0,5,0,0,0,0,10,4,0,4,3,0,76,6,0,0,0,5,0,0,6,10,0,0,11,0,0,5,0,0,0,8,4,0,0,0,0,3,0,5,0,0,7,5,4,6,8,0,4,5,0,0,6,9,0,0,0,10,0,0,39,3,0,0,8,0,5,0,5,3,0,0,0,0,10,0,0,3,0,0,0,7,0,6,8,0,5,7,0,0,49,3,0,5,0,5,4,3,0,0,0,7,0,5,5,0,0,4,5,7,0,80,0,0,0,7
Bacteroidaceae,800,14110,4066,631,12660,1400,1069,8423,3814,1279,2127,2656,623,8579,2826,746,5072,1051,921,17574,2096,397,5978,2744,909,8487,2687,46,7332,4004,444,13950,2535,2031,3552,6146,809,13043,3632,1083,18148,1635,1581,15445,1378,1437,5200,5310,1670,4386,1373,534,3257,3725,4236,16568,3051,2648,14190,1945,1407,13714,3391,2040,5483,6210,2240,19886,5260,2025,5247,3774,2870,10975,1987,1872,6586,2625,2592,11546,2398,1301,19195,2385,2312,6203,2135,1013,10079,2434,880,7192,3958,4578,6173,1989,1895,2612,2353,1260,7715,1618,3951,11521,3534,1809,9744,2783,3383,4362,1891,885,4962,1806,1380,10507,2677,2428,9336,2427,1770,4703,2618,609,1495,1013,231,10541,5094,1483,6021,3682,5161,5317,1125,4793,5898,2100,1148,9300,2300,1285,6551,2114,390,5662,1766,2496,3648,4432,3373,5385,1611,1553,4076,1474,1247,10685,3018,2108,5911,2411,971,8502,2938,640,6887,2069,2314,5421,886,3896,13098,3401,386,2392,642,1168,5576,706,1354,2558,1712,2617,3697,887,1451,7454,1568,2281,6521,984,467,3622,562,2625,6429,3091,1399,6068,3073,1059,1503,2460,3984,2692,2066,746,1922,1696,2948,3436,1361,1514,13561,2428,1383,9639,1703,1458,6783,437,9804,8406,1187,799,4970,3238,350,4132,850
Monoglobaceae,13,4,24,25,7,13,8,0,11,0,4,9,0,21,5,2,0,5,8,9,2,0,0,9,23,16,70,0,14,56,17,31,34,52,0,44,0,8,0,3,0,0,8,0,0,0,0,17,7,0,0,0,5,0,3,0,4,11,0,4,0,0,3,0,0,0,52,3,0,27,0,6,3,3,0,6,0,0,4,0,4,0,0,0,0,0,0,0,0,0,7,0,11,14,5,11,29,4,10,12,12,10,12,0,11,47,6,24,15,18,8,5,45,7,4,3,11,0,0,0,93,0,41,0,0,0,0,3,0,0,0,0,22,3,5,19,0,6,0,3,14,10,11,7,6,15,4,7,0,2,11,9,16,11,0,0,4,9,8,0,8,0,0,0,0,0,0,0,0,2,0,13,0,15,3,6,11,3,2,3,4,0,0,0,0,9,7,8,10,15,3,13,11,7,0,0,25,7,13,10,21,0,5,0,4,5,10,5,17,10,5,7,3,19,0,11,6,4,2,0,22,6,14,0,25,0,0,13,15,0,12
Anaerovoracaceae,14,136,59,36,42,33,128,20,34,38,37,27,43,30,55,58,16,54,101,41,59,30,27,118,35,57,78,6,14,75,23,84,33,48,9,41,31,41,66,27,46,27,69,64,25,45,5,64,41,22,55,37,25,31,24,30,34,160,68,69,57,70,53,27,4,3,67,21,0,99,42,50,66,86,28,27,9,39,15,42,22,88,30,52,9,12,19,74,38,69,36,42,46,33,71,31,46,29,55,49,65,24,56,57,37,81,49,69,45,76,37,53,61,28,0,0,0,66,12,14,213,33,68,7,27,28,0,46,58,48,25,35,73,35,28,62,44,66,23,57,33,44,41,165,25,66,19,27,46,24,38,68,63,36,46,45,30,50,26,91,27,21,34,52,71,44,47,94,95,101,49,24,14,34,41,53,41,26,38,47,12,61,34,18,26,72,13,31,15,61,57,89,31,41,26,16,61,40,65,51,37,65,63,23,63,84,54,22,115,55,31,83,10,52,27,27,70,74,11,54,73,0,63,61,155,24,22,41,48,81,62
Acholeplasmataceae,7,101,0,30,31,63,26,36,85,12,26,87,71,65,79,74,4,81,30,73,78,3,0,8,145,18,263,12,77,134,14,3,239,6,0,6,7,24,0,2,5,0,74,6,184,120,0,689,63,7,48,21,13,20,0,2,0,11,3,5,9,9,2,55,3,75,0,42,4,452,106,487,40,3,202,5,13,8,55,35,212,19,0,648,9,6,54,30,17,102,16,81,52,92,31,30,135,35,95,14,7,78,133,4,349,55,0,14,26,23,46,25,21,29,0,0,3,0,4,0,15,0,52,2,25,0,43,6,309,28,1658,66,9,20,19,98,6,82,0,31,0,33,0,23,6,0,30,46,222,214,240,35,40,17,68,17,18,140,29,30,103,27,81,106,35,6,228,6,27,71,13,39,0,63,139,94,129,68,159,92,42,121,70,0,128,26,48,75,34,60,69,41,9,0,6,92,104,62,6,299,64,42,92,18,28,98,39,20,105,37,77,187,41,7,6,4,63,33,30,21,159,30,322,291,97,30,23,198,39,206,97
